iter	Passed	Remaining
1164	10218	77492
1165	10226	77477
1166	10234	77465
1167	10245	77469
1168	10253	77454
1169	10261	77446
1170	10269	77430
1171	10278	77419
1172	10286	77407
1173	10294	77390
1174	10302	77377
1175	10312	77376
1176	10321	77371
1177	10329	77360
1178	10338	77352
1179	10347	77342
1180	10356	77336
1181	10364	77325
1182	10372	77310
1183	10380	77293
1184	10388	77279
1185	10396	77262
1186	10404	77246
1187	10411	77224
1188	10419	77210
1189	10427	77200
1190	10436	77188
1191	10446	77193
1192	10456	77193
1193	10465	77183
1194	10473	77170
1195	10482	77160
1196	10490	77152
1197	10503	77173
1198	10513	77172
1199	10522	77164
1200	10530	77151
1201	10539	77144
1202	10548	77134
1203	10558	77136
1204	10567	77126
1205	10575	77117
1206	10584	77105
1207	10592	77093
1208	10600	77077
1209	10610	77077
1210	10618	77068
1211	10627	77056
1212	10635	77046
1213	10644	77037
1214	10653	77031
1215	10662	77021
1216	10670	77007
1217	10681	77013
1218	10688	76997
1219	10696	76982
1220	10705	76972
1221	10720	77006
1222	10727	76990
1223	10737	76984
1224	10748	76995
1225	10757	76983
1226	10765	76971
1227	10774	76962
1228	10782	76948
1229	10789	76932
1230	10797	76916
1231	10807	76913
1232	10815	76904
1233	10833	76958
1234	10843	76958
1235	10852	76951
1236	10861	76942
1237	10869	76926
1238	10878	76922
1239	10886	76906
1240	10894	76896
1241	10902	76879
1242	10912	76878
1243	10921	76871
1244	10929	76859
1245	10938	76848
1246	10946	76837
1247	10956	76834
1248	10964	76823
1249	10972	76810
1250	10980	76793
1251	10988	76781
1252	10998	76775
1253	11007	76774
1254	11016	76765
1255	11026	76762
1256	11034	76750
1257	11043	76741
1258	11053	76739
1259	11061	76730
1260	11070	76720
1261	11079	76711
1262	11087	76702
1263	11096	76692
1264	11104	76677
1265	11113	76669
1266	11128	76702
1267	11137	76698
1268	11145	76686
1269	11155	76681
1270	11164	76672
1271	11172	76661
1272	11180	76646
1273	11188	76631
1274	11196	76618
1275	11205	76608
1276	11213	76596
1277	11221	76582
1278	11229	76572
1279	11238	76559
1280	11247	76555
1281	11256	76546
1282	11264	76531
1283	11274	76530
1284	11283	76525
1285	11291	76510
1286	11299	76499
1287	11308	76487
1288	11317	76483
1289	11325	76469
1290	11334	76459
1291	11342	76450
1292	11353	76453
1293	11361	76442
1294	11369	76425
1295	11377	76413
1296	11385	76400
1297	11393	76385
1298	11402	76374
1299	11410	76360
1300	11418	76345
1301	11426	76332
1302	11436	76336
1303	11445	76325
1304	11453	76311
1305	11462	76304
1306	11470	76289
1307	11479	76280
1308	11486	76264
1309	11495	76253
1310	11503	76244
1311	11511	76231
1312	11520	76220
1313	11529	76211
1314	11538	76204
1315	11550	76216
1316	11557	76199
1317	11566	76193
